date_monday,year_iso,week_iso_num,geo_level,geo_code,geo_name,classe_d_age,taux_passages_urgences,taux_hosp,taux_sos,topic
2020-05-18,2020,21,FR,FR,France,00-04 ans,1365.0477474,2051.0255128,2997.2118959,IRA
2020-05-18,2020,21,FR,FR,France,05-14 ans,768.53526221,711.57495256,4320.0785469,COVID
2020-05-18,2020,21,FR,FR,France,05-14 ans,934.29776974,806.4516129,5031.9096711,IRA
2020-05-18,2020,21,FR,FR,France,15-64 ans,2067.3308396,2844.5092766,5635.2315657,COVID
2020-05-18,2020,21,FR,FR,France,15-64 ans,2510.2773971,4098.099102,6348.8176857,IRA
2020-05-18,2020,21,FR,FR,France,65 ans ou plus,2777.3745585,4400.5905866,3100.7042898,COVID
2020-05-18,2020,21,FR,FR,France,65 ans ou plus,4690.2469315,7710.0363715,5460.5323333,IRA
2020-05-18,2020,21,FR,FR,France,Tous âges,2061.2256236,3493.5146988,4618.3944887,COVID
2020-05-18,2020,21,FR,FR,France,Tous âges,2870.2449281,5756.866243,5729.8062314,IRA
2020-05-25,2020,22,FR,FR,France,0-1 an,50.279968004,113.20754717,24.119633382,RSV
2020-05-25,2020,22,FR,FR,France,00-04 ans,456.80126325,445.54455446,1555.5031817,COVID
2020-05-25,2020,22,FR,FR,France,00-04 ans,981.27678773,1881.1881188,2663.2099929,IRA
2020-05-25,2020,22,FR,FR,France,05-14 ans,542.84432481,456.82960256,2799.2717342,COVID
2020-05-25,2020,22,FR,FR,France,05-14 ans,722.29699417,867.97624486,3482.0209376,IRA
2020-05-25,2020,22,FR,FR,France,15-64 ans,1575.5751803,1798.4346144,4049.740657,COVID
2020-05-25,2020,22,FR,FR,France,15-64 ans,2003.8538269,3060.4168499,4851.0440218,IRA
2020-05-25,2020,22,FR,FR,France,65 ans ou plus,1848.5929202,3092.1216876,2098.6358867,COVID
2020-05-25,2020,22,FR,FR,France,65 ans ou plus,3736.1199794,6408.9304183,4388.056854,IRA
2020-05-25,2020,22,FR,FR,France,Tous âges,1474.6642879,2354.9308069,3305.7683733,COVID
2020-05-25,2020,22,FR,FR,France,Tous âges,2260.7802221,4637.1224382,4436.7424703,IRA
2020-06-01,2020,23,FR,FR,France,0-1 an,35.211267606,83.396512509,17.47487986,RSV
2020-06-01,2020,23,FR,FR,France,00-04 ans,281.95488722,255.23226136,1360.5442177,COVID
2020-06-01,2020,23,FR,FR,France,00-04 ans,685.53737284,1327.2077591,2194.4261576,IRA
2020-06-01,2020,23,FR,FR,France,05-14 ans,355.51763367,232.9916123,2841.4096916,COVID
2020-06-01,2020,23,FR,FR,France,05-14 ans,564.08797876,978.56477167,3832.5991189,IRA
2020-06-01,2020,23,FR,FR,France,15-64 ans,1019.0600748,1496.5329588,3352.5405972,COVID
2020-06-01,2020,23,FR,FR,France,15-64 ans,1409.4231522,2611.2525235,4280.035744,IRA
2020-06-01,2020,23,FR,FR,France,65 ans ou plus,1360.8196058,2382.0712091,1501.9336271,COVID
2020-06-01,2020,23,FR,FR,France,65 ans ou plus,3279.0458693,5750.9488523,3858.2606349,IRA
2020-06-01,2020,23,FR,FR,France,Tous âges,997.84685511,1851.2748135,2753.924721,COVID
2020-06-01,2020,23,FR,FR,France,Tous âges,1760.3041957,4092.9669887,3975.7896728,IRA
2020-06-08,2020,24,FR,FR,France,0-1 an,37.925264919,90.909090909,20.33553635,RSV
2020-06-08,2020,24,FR,FR,France,00-04 ans,237.22112398,406.297613,1282.0512821,COVID
2020-06-08,2020,24,FR,FR,France,00-04 ans,638.23778594,1574.4032504,2276.2951334,IRA
2020-06-08,2020,24,FR,FR,France,05-14 ans,215.68903268,225.4283138,1936.5703059,COVID
2020-06-08,2020,24,FR,FR,France,05-14 ans,351.66690111,586.11361587,2834.6898681,IRA
2020-06-08,2020,24,FR,FR,France,15-64 ans,751.64595265,1118.0287618,2733.3587707,COVID
2020-06-08,2020,24,FR,FR,France,15-64 ans,1153.0304182,2249.2108032,3624.8222276,IRA
2020-06-08,2020,24,FR,FR,France,65 ans ou plus,897.88870575,1547.9331574,1088.0515817,COVID
2020-06-08,2020,24,FR,FR,France,65 ans ou plus,2838.0817832,4918.2058047,3475.7203304,IRA
2020-06-08,2020,24,FR,FR,France,Tous âges,706.28830947,1277.5171418,2194.2220976,COVID
2020-06-08,2020,24,FR,FR,France,Tous âges,1480.8619303,3527.607362,3413.234374,IRA
2020-06-15,2020,25,FR,FR,France,0-1 an,31.746031746,97.597597598,39.820806371,RSV
2020-06-15,2020,25,FR,FR,France,00-04 ans,113.72251706,149.10536779,973.78277154,COVID
2020-06-15,2020,25,FR,FR,France,00-04 ans,427.81327846,1242.5447316,1947.5655431,IRA
2020-06-15,2020,25,FR,FR,France,05-14 ans,155.4764535,327.33224223,2175.0126454,COVID
2020-06-15,2020,25,FR,FR,France,05-14 ans,265.9465652,654.66448445,2731.4112291,IRA
2020-06-15,2020,25,FR,FR,France,15-64 ans,607.51978892,931.70356441,2328.1015136,COVID
2020-06-15,2020,25,FR,FR,France,15-64 ans,1000.0,2260.876998,3132.1005348,IRA
2020-06-15,2020,25,FR,FR,France,65 ans ou plus,675.26089626,1165.5906474,910.2476265,COVID
2020-06-15,2020,25,FR,FR,France,65 ans ou plus,2803.8674033,4805.4440761,3670.3533327,IRA
2020-06-15,2020,25,FR,FR,France,Tous âges,546.83739289,996.28384357,1891.0113077,COVID
2020-06-15,2020,25,FR,FR,France,Tous âges,1342.8323866,3445.4078924,3111.2246854,IRA
2020-06-22,2020,26,FR,FR,France,0-1 an,55.04587156,141.98782961,36.749693753,RSV
