geo_code,geo_name,date_monday,year_iso,week_iso_num,taux_passages_urgences,MNP_score,tmean,workplaces,retail_and_recreation,couv_complet
76,Occitanie,2021-12-13,2021,50,1685.0715746,,7.621428571428572,-4.428571428571429,4.0,16.797795871089146
76,Occitanie,2021-12-20,2021,51,1597.6095618,,5.615714285714286,-37.285714285714285,-8.714285714285714,16.85966950312361
76,Occitanie,2021-12-27,2021,52,1445.6289979,,11.972857142857142,-49.142857142857146,-14.714285714285714,16.900940027968645
76,Occitanie,2022-01-03,2022,1,1129.1193949,,6.594285714285713,-14.285714285714286,-16.428571428571427,16.93979501893369
76,Occitanie,2022-01-10,2022,2,973.50230415,,4.3342857142857145,-13.571428571428571,-13.142857142857142,17.01086914384225
76,Occitanie,2022-01-17,2022,3,684.6361186,,4.931428571428571,-13.714285714285714,-14.571428571428571,17.07946014743819
76,Occitanie,2022-01-24,2022,4,570.10785824,,4.768571428571429,-13.857142857142858,-14.428571428571429,17.134237918288463
76,Occitanie,2022-01-31,2022,5,632.56325633,,7.911428571428572,-11.0,-10.714285714285714,17.196257375329076
76,Occitanie,2022-02-07,2022,6,584.56299659,,6.744285714285715,-8.571428571428571,-6.714285714285714,17.25421830944566
76,Occitanie,2022-02-14,2022,7,526.96078431,,9.12,-8.0,-4.0,17.30278909625598
76,Occitanie,2022-02-21,2022,8,495.21665729,,6.934285714285714,-17.857142857142858,-7.714285714285714,17.338095542197724
76,Occitanie,2022-02-28,2022,9,473.52024922,,8.234285714285715,-18.857142857142858,-7.285714285714286,17.364322743023287
76,Occitanie,2022-03-07,2022,10,519.29824561,,8.602857142857143,-6.857142857142857,-14.428571428571429,17.381069679965755
76,Occitanie,2022-03-14,2022,11,591.29304743,,9.55,-5.857142857142857,-12.142857142857142,17.39182877999831
76,Occitanie,2022-03-21,2022,12,435.30113298,,11.785714285714286,-5.285714285714286,-10.428571428571429,17.400144491936206
76,Occitanie,2022-03-28,2022,13,481.50322959,,7.187142857142858,-6.428571428571429,-12.714285714285714,17.40679181834024
76,Occitanie,2022-04-04,2022,14,467.4556213,,7.734285714285714,-4.142857142857143,-3.7142857142857144,17.41230572398016
76,Occitanie,2022-04-11,2022,15,435.77981651,,13.162857142857144,-6.285714285714286,0.2857142857142857,17.416899621294753
76,Occitanie,2022-04-18,2022,16,498.22064057,,11.911428571428573,-15.571428571428571,-6.714285714285714,17.420895881856605
76,Occitanie,2022-04-25,2022,17,472.60273973,,10.808571428571428,-17.0,-1.1428571428571428,17.42444074029267
76,Occitanie,2022-05-02,2022,18,327.10280374,,12.494285714285713,-16.142857142857142,0.4285714285714285,17.429017843154305
76,Occitanie,2022-05-09,2022,19,395.7996769,,15.435714285714289,-3.0,2.0,17.433040319447603
76,Occitanie,2022-05-16,2022,20,212.76595745,,16.611428571428572,-3.0,0.2857142857142857,17.436767459141358
76,Occitanie,2022-05-23,2022,21,333.56497568,,13.212857142857144,-21.0,6.0,17.440094808930606
76,Occitanie,2022-05-30,2022,22,448.80785414,,14.418571428571427,-2.857142857142857,7.714285714285714,17.442794210027635
76,Occitanie,2022-06-06,2022,23,333.78746594,,16.288571428571426,-10.142857142857142,4.142857142857143,17.44612442716251
76,Occitanie,2022-06-13,2022,24,262.03966006,,19.324285714285715,-2.2857142857142856,4.0,17.449331758056246
76,Occitanie,2022-06-20,2022,25,278.67790019,,17.77,-3.857142857142857,6.571428571428571,17.45232936309844
76,Occitanie,2022-06-27,2022,26,273.556231,,16.068571428571428,-4.571428571428571,8.714285714285714,17.455290921509896
76,Occitanie,2022-07-04,2022,27,288.40494408,,17.22714285714286,-8.285714285714286,12.142857142857142,17.458581405426806
76,Occitanie,2022-07-11,2022,28,269.68716289,,21.042857142857144,-25.142857142857142,12.0,17.462045568564523
76,Occitanie,2022-07-18,2022,29,194.80519481,,22.931428571428572,-14.428571428571429,14.0,17.464446356095582
76,Occitanie,2022-07-25,2022,30,189.73998595,,19.327142857142857,-14.857142857142858,21.714285714285715,17.467080627484805
